Nombre de la población;Población;Densidad (hab/km2);Saldo migratorio (Altas-Bajas);Paro registrado (31 marzo);Valor catastral por unidad urbana (miles euros);Bibliotecas públicas;Farmacias (por 10000 hab) (*);Turismos (por 1000 hab) (*);Estimación PIB per cápita (euros) (a);Indicador de Renta Disponible Bruta Municipal per cápita (euros) (a)
Acebeda (La);65;2,97;0;5;24,25;0;0,00;417,91;27016;11593,94
Ajalvir;4343;219,34;80;314;83,22;1;2,30;2109,30;78854;15468,34
Alameda del Valle;217;8,43;-8;13;45,56;0;44,64;487,29;16728;13161,22
Alamo (El);8965;407,31;157;879;44,28;1;1,12;434,68;13527;12704,61
Alcalá de Henares;198750;2258,78;678;18999;123,89;7;3,44;458,38;21520;14721,62
Alcobendas;113055;2497,35;311;7152;122,79;3;3,39;983,06;63805;22745,04
Alcorcón;167136;4974,29;-3158;13819;106,63;7;3,87;450,54;19190;15013,44
Aldea del Fresno;2535;49,04;16;338;81,36;0;3,96;485,69;18369;12100,36
Algete;20148;530,91;81;1338;184,63;1;2,49;565,34;30852;19052,62
Alpedrete;14248;1124,55;39;905;161,40;1;2,14;481,61;14073;17940,25
Ambite;618;23,93;11;74;27,00;0;16,47;353,43;9635;11846,29
Anchuelo;1200;55,53;-4;125;44,63;0;8,26;535,54;14986;13113,16
Aranjuez;58168;307,49;470;5265;91,74;1;2,77;396,40;18397;14517,35
Arganda del Rey;54533;678,95;-1006;6027;132,57;2;2,53;419,96;32177;12970,68
Arroyomolinos;26846;1290,05;983;1738;165,78;1;1,18;470,62;23146;16225,36
Atazar (El);96;3,38;1;8;36,63;0;0,00;702,97;71500;11640,29
Batres;1568;73,34;-3;113;119,00;0;6,37;603,19;8870;15272,65
Becerril de la Sierra;5396;181,93;48;445;120,44;1;3,74;460,15;15606;16716,32
Belmonte de Tajo;1625;67,46;37;152;56,31;0;6,29;461,97;12987;10742,53
Berrueco (El);618;21,74;2;66;45,42;0;15,77;410,09;16694;14016,09
Berzosa del Lozoya;202;13,81;13;23;40,67;0;0,00;420,79;21812;12383,63
Boadilla del Monte;48775;1027,06;795;1944;234,95;1;2,09;972,05;32556;25479,59
Boalo (El);7157;181,28;113;514;129,22;1;4,30;428,73;13313;17262,20
Braojos;203;8,14;1;12;34,39;0;50,25;595,12;17191;11655,75
Brea de Tajo;560;12,51;2;46;29,28;0;17,61;429,33;26474;10490,19
Brunete;10398;211,30;248;697;109,58;1;1,96;2373,57;15846;16378,14
Buitrago del Lozoya;1865;71,81;-69;144;67,59;1;5,12;433,09;23917;13801,52
Bustarviejo;2367;42,12;29;191;41,58;1;4,26;401,27;14078;14342,25
Cabanillas de la Sierra;733;53,04;0;52;58,54;0;13,66;544,72;16997;15373,92
Cabrera (La);2574;116,16;21;231;75,54;1;3,86;464,26;18977;13863,31
Cadalso de los Vidrios;2767;57,80;4;403;34,82;1;3,62;436,22;19050;10824,92
Camarma de Esteruelas;7134;202,61;80;673;65,95;1;1,42;531,76;29972;14129,39
Campo Real;5854;94,71;80;618;55,84;1;3,46;453,26;24388;13104,58
Canencia;464;8,56;3;26;33,67;0;21,01;466,67;17717;11003,45
Carabaña;2017;42,31;29;227;29,80;0;5,06;438,94;13261;11619,71
Casarrubuelos;3548;664,42;64;375;99,95;0;2,89;498,68;19427;13121,74
Cenicientos;2035;29,81;-5;261;29,64;0;4,82;374,64;16413;10222,40
Cercedilla;6781;189,63;-39;502;98,92;1;4,39;445,27;18409;14919,03
Cervera de Buitrago;164;14,20;-5;15;26,68;0;0,00;728,81;12759;10081,60
